,Learning
0,Missouri
1,Washington
2,Oklahoma
3,New Mexico
4,Indiana
5,Idaho
6,New Jersey
7,Nebraska
8,Iowa
9,Oregon
10,Wyoming
11,Virginia
12,New York
13,South Carolina
14,Utah
15,Montana
16,Rhode Island
17,Arkansas
18,Illinois
19,West Virginia
20,Delaware
21,Alaska
22,Georgia
23,Colorado
24,Massachusetts
25,Connecticut
26,South Dakota
27,Minnesota
28,Louisiana
29,Maryland
30,Kansas
31,Wisconsin
32,Pennsylvania
33,Mississippi
34,Maine
35,Florida
36,Nevada
37,Tennessee
38,Michigan
39,North Dakota
40,North Carolina
41,Kentucky
42,Ohio
43,Vermont
44,New Hampshire
